ID,Name,DSM5 Criteria,Symptom of DSM5 Criteria,CUI,
ASD0001,inflexible adherence to routines or rituals,B2,inflexible adherence to routines,C1837653,
ASD0002,impaired use of nonverbal behaviors,B2,ritualized patterns of nonverbal behavior,C4021798,
ASD0003,speech nonverbal communication skills facial expressions,A2,nonverbal communication,C2018050,
ASD0004,abnormal sensations in eye,A2,abnormalities in eye contact,C0497201,
ASD0005,social/emotional reciprocity appears deaf,A1,social-emotional reciprocity,C4064026,
ASD0006,nonverbal communication,A2,nonverbal communication,C0028325,
ASD0007,language disorder  mixed receptive and expressive,A2,abnormalities in body language,C0236827,
ASD0008,resistance to change,B2,extreme distress at small changes,C0424271,
ASD0009,disruption of routine,A1,abnormal social approach,C1821309,
ASD0010,motor stereotypies,B1,simple motor stereotypies,C3898226,
ASD0011,expressionless face,A2,lack of facial expressions,C0813217,
ASD0012,finding relating to non-verbal communication,A2,nonverbal communication,C0558264,
ASD0013,irritable aggressive behavior,B2,ritualized patterns of nonverbal behavior,C2610222,
ASD0014,body language,A2,abnormalities in body language,C0005892,
ASD0015,sensory deprivation,B4,hyper-reactivity to sensory input,C0036674,
ASD0016,"autism spectrum disorder (asd, 19%)",E,intellectual developmental disorder,C4230170,
ASD0017,phenx measure - symptoms of autism spectrum disorders,E,intellectual developmental disorder,C3166145,
ASD0018,plays interactive games with peers,A3,difficulties in sharing imaginative play,C0517127,
ASD0019,social interaction impairment in social/emotional reciprocity,A1,social-emotional reciprocity,C4064035,
ASD0020,"repetitive, self-stimulatory behavior using upper limbs",B2,ritualized patterns of verbal behavior,C1839750,
ASD0021,play behaviour,A3,difficulties in sharing imaginative play,C0518192,
ASD0022,texture,B4,adverse response to specific textures,C0449582,
ASD0023,"restrictive behavior, interests, and activities",B2,inflexible adherence to routines,C2675334,
ASD0024,mild  mental retardation,E,intellectual disability,C0026106,
ASD0025,develops close friendships,A1,social-emotional reciprocity,C0517164,
ASD0026,echolalia,B1,echolalia,C0013528,
ASD0027,preoccupation finding,B3,preoccupation,C0549165,
ASD0028,autism spectrum disorders,E,intellectual developmental disorder,C1510586,
ASD0029,demonstrated behavior stereotypy odd body postures,B2,ritualized patterns of verbal behavior,C4065488,
ASD0030,"movement disorder, stereotypic",B1,stereotyped motor movements,C0038273,
ASD0031,verbal communication difficulty following social rules,A2,poorly integrated verbal communication,C2189304,
ASD0032,repetitious behaviour,B2,ritualized patterns of nonverbal behavior,C1827547,
ASD0033,decrease limit setting as patient behavior approximates the desired behaviors,B2,ritualized patterns of nonverbal behavior,C0509795,
ASD0034,high-functioning autism,E,intellectual developmental disorder,C3840214,
ASD0035,prefers change in daily routine,B2,extreme distress at small changes,C1718229,
ASD0036,social group 3 - skilled,A1,abnormal social approach,C0425390,
ASD0037,deficit,A2,deficits in understanding and use of gestures,C2987487,
ASD0038,perseveration,B1,echolalia,C0233651,
ASD0039,self-control behavior: aggression,A1,social-emotional reciprocity,C1319130,
ASD0040,rigidity of thinking,B2,rigid thinking patterns,C0589139,
ASD0041,stereotyped behavior,B1,stereotyped motor movements,C0038271,
ASD0042,limited facial expression,A2,lack of facial expressions,C3151702,
ASD0043,cogwheel rigidity (in some patients),B1,stereotyped motor movements,C3810448,
ASD0044,ritualistic behavior (qualifier value),B2,ritualized patterns of nonverbal behavior,C0475222,
